normalized_name,skillhub_slug,skillhub_name,skillhub_version,skillhub_downloads,openclawmp_id,openclawmp_name,openclawmp_version,openclawmp_installs
travel-destination-brochure,travel-destination-brochure,travel-destination-brochure,1.0.0,906,s-9848976a92eecb49,travel-destination-brochure,1.0.0,0
trawl,trawl,Trawl,1.0.2,1697,s-ae0b76f7e35dc885,trawl,1.0.2,4
trendyol-admin,trendyol-admin,trendyol-admin,1.0.1,523,s-e75e2919a7ca430d,trendyol-admin,1.0.1,2
trilium,trilium,Trilium,1.0.3,964,s-51a469b2fbb7130b,trilium,1.0.3,0
truetime,truetime,TrueTime,1.0.0,437,s-15ccdcc1a51050c8,truetime,1.0.0,0
truth-search,truth-search,truth-search,1.0.4,278,s-42bae275f4d28ee6,truth-search,1.0.2,13
truthcheck,truthcheck,TruthCheck,0.4.3,381,s-babc38ccad3aefcd,truthcheck,0.4.3,1
ts4,ts4,ts4,0.1.0,402,s-a135713634743106,ts4,0.1.0,4
tududi,tududi,tududi,1.0.1,1111,s-7d5ffc09eb7b2c52,tududi,1.0.0,0
tushare-base,tushare-base,tushare-base,1.0.0,2490,s-5d51658d7f90f16f,tushare-base,1.0.0,24
tvscreener,tvscreener,Tvscreener,1.0.0,1135,s-a855f6a86977bab1,tvscreener,1.0.0,4
twilio,twilio,Twilio,1.0.1,1621,s-44435a73a239f6b9,twilio,1.0.0,0
twilio,twilio-api,Twilio,1.0.2,3836,s-44435a73a239f6b9,twilio,1.0.0,0
twilio,twilio-integration,Twilio,1.0.0,134,s-44435a73a239f6b9,twilio,1.0.0,0
twinify,twinify,Twinify,1.0.0,967,s-1238f87488810218,twinify,1.0.0,0
twitterscore,twitterscore,TwitterScore,1.0.0,302,s-45a09476e943e604,twitterscore,1.0.0,0
unsearch,unsearch,UnSearch,1.0.0,808,s-d231b6a28b559196,unsearch,1.0.0,4
unsplash,unsplash,Unsplash,1.0.0,745,s-8976e04298281d5d,unsplash,1.0.0,1
usewhisper,usewhisper,usewhisper,1.0.0,514,s-f4f22c6aa2744397,usewhisper,1.0.0,6
usewhisper-autohook,usewhisper-autohook,usewhisper-autohook,1.0.0,459,s-277b21ce95b82356,usewhisper-autohook,1.0.0,0
v2ex,v2ex,v2ex,1.0.0,411,s-9b9e98b5195569d6,v2ex,1.0.0,0
vajra,vajra,Vajra,1.1.0,352,s-61946d751ed2f4d7,vajra,1.1.0,1
veille,veille,Veille,1.2.6,388,s-ac721a12086a1dc6,veille,1.2.5,9
verify-before-done,verify-before-done-avi,verify-before-done,1.0.0,32,s-b3eed1b82d29b58b,verify-before-done,1.0.0,2
vibe-check,vibe-check,vibe-check,0.2.1,493,s-04b6de5761909e38,vibe-check,0.2.1,0
video-download,video-download,video-download,0.1.6,1278,s-5bc814df3f59a62b,video-download,0.1.6,15
video-understand,video-understand,video-understand,1.0.1,434,s-64af424b0c014212,video-understand,1.0.1,23
videogames,videogames,Videogames,1.0.1,779,s-34305d3bf7f14b53,videogames,1.0.1,0
vitavault,vitavault,Vitavault,1.3.0,449,s-9e9fa18217ff8f57,vitavault,1.0.0,0
voice,telegram-voice,Voice,1.0.0,72,s-5f786789056e73a5,voice,1.0.1,17
voice,voice,Voice,1.0.1,1930,s-5f786789056e73a5,voice,1.0.1,17
volcengine-image-generate,volcengine-image-generate,volcengine-image-generate,1.0.0,647,s-466538efa3fb7791,volcengine-image-generate,1.0.0,2
volcengine-video-generate,volcengine-video-generate,volcengine-video-generate,1.0.0,696,s-028186d18a5b861b,volcengine-video-generate,1.0.0,0
volcengine-web-search,volcengine-web-search,volcengine-web-search,1.0.0,630,s-1c16a306f9c09e80,volcengine-web-search,1.0.0,0
vscode-tunnel,vscode-tunnel,vscode-tunnel,1.0.0,435,s-6a2aba7bc21184bc,vscode-tunnel,1.0.0,0
vultisig-sdk,vultisig-sdk,vultisig-sdk,0.1.0,1327,s-317c454d31233903,vultisig-sdk,0.1.0,2
waitingformacguffin,waitingformacguffin,WaitingForMacGuffin,1.3.0,439,s-08a3c6b32a7c1d42,waitingformacguffin,1.0.0,0
wallabag,wallabag,Wallabag,1.0.1,311,s-dbfbe89bd7f45b3e,wallabag,1.0.1,0
weather,free-weather-api,weather,1.0.0,134,s-189ea44006b20bb2,weather,1.0.0,23
weather,free-weather-skill,Weather,0.1.0,38,s-189ea44006b20bb2,weather,1.0.0,23
weather,laomo-weather,Weather,2.1.0,62,s-189ea44006b20bb2,weather,1.0.0,23
weather,maomao-weather,weather,1.0.2,447,s-189ea44006b20bb2,weather,1.0.0,23
weather,weather,Weather,1.0.0,97873,s-189ea44006b20bb2,weather,1.0.0,23
weather,weather-wang,Weather,1.0.0,133,s-189ea44006b20bb2,weather,1.0.0,23
webcli,webcli,webcli,0.2.1,469,s-d019051593261105,webcli,0.2.1,0
webserp,webserp,webserp,0.1.4,475,s-ed0c1dd08f965be7,webserp,0.1.4,1
website,website,Website,1.0.0,2854,s-ae084bd1e047168d,website,1.0.0,8
wherecaniwatch,wherecaniwatch,WhereCanIWatch,1.0.0,296,s-c82ec25fd6422521,wherecaniwatch,1.0.0,0
whisnap,whisnap,Whisnap,1.0.0,391,s-4c743e2bf9d7cda5,whisnap,1.0.0,3
wiim,wiim,WiiM,0.1.1,871,s-3998a0a84bbd75e1,wiim,0.1.1,0
wikipedia-oc,wikipedia-oc,wikipedia-oc,0.1.4,792,s-d4bdb2b9a6a2d9d4,wikipedia-oc,0.1.4,0
wilma,wilma,Wilma,1.4.1,1264,s-9f29c6617dc68af4,wilma,1.2.0,2
windsensei,windsensei,Windsensei,1.4.2,498,s-b3447988a5e91d98,windsensei,1.4.2,0
wolt-cli,wolt,wolt-cli,0.5.4,308,s-757fd82f3674331b,wolt-cli,1.0.0,2
wolt-cli,wolt-cli,wolt-cli,1.0.0,361,s-757fd82f3674331b,wolt-cli,1.0.0,2
work,work,Work,1.0.0,574,s-ecc5041d0bda7a16,work,1.1.0,0
workcrm,workcrm,Workcrm,0.1.0-alpha.4,500,s-dfc6852f806958ad,workcrm,1.0.0,0
workflows,workflows,Workflows,1.0.2,438,s-d09c4c344da586b4,workflows,1.0.2,0
worldbook,worldbook,Worldbook,0.1.0,328,s-8f63c3436c46a4ba,worldbook,1.0.0,0
wrike,wrike,Wrike,0.1.0,383,s-5f6c2081a4cb7a8f,wrike,1.0.0,0
wrike,wrike-api,Wrike,1.0.0,87,s-5f6c2081a4cb7a8f,wrike,1.0.0,0
x-agent,x-agent,x-agent,0.1.0,517,s-1b2bfc96fe3481ed,x-agent,0.1.0,0
x-recap,x-recap,x-recap,2026.2.25,259,s-d24a31efa5a0e956,x-recap,2026.2.25,1
yahooquery,yahooquery,yahooquery,1.0.0,832,s-b0f5a9679fc0c9c9,yahooquery,1.0.0,1
yellowagents,yellowagents,YellowAgents,1.2.0,318,s-a33b885908d5c329,yellowagents,1.2.0,0
yoinkit,yoinkit,YoinkIt,1.0.8,587,s-1b0619efb7e76c17,yoinkit,1.0.8,0
youtube-hook,youtube-hook,YouTube-Hook,1.0.0,371,s-daeb5c4f965f27c6,youtube-hook,1.0.0,0
yumstock,yumstock,yumstock,1.0.0,527,s-eee193daa4fd8619,yumstock,1.0.0,0
zededa,zededa,ZEDEDA,1.0.6,411,s-b9dc46d518a91d60,zededa,1.0.6,0
zerox,zerox,Zerox,0.1.0,649,s-374ea6c91faf6a69,zerox,0.1.0,5
